CODE,DESCRIPTION,ACTIVITY,SIDE,QUANTITY,CVF,PRICE($),TRADE DATE,BROKERAGE,FEES,NETT VALUE
ALG,Bought 1348,BUY,BUY,1348,,0.82,2020-12-01,5,0.00E+00,1110.36
HFR,Bought 1626,BUY,BUY,1626,,0.68,2020-12-01,5,0.00E+00,1110.68
INR,Bought 4021,BUY,BUY,4021,,0.274053096,2020-12-01,5,0.00E+00,1106.97
JHC,Bought 1445,BUY,BUY,1445,,0.765,2020-12-01,5,0.00E+00,1110.43
PFT,Bought 933,BUY,BUY,933,,1.185,2020-12-01,5,0.00E+00,1110.61
SVY,Bought 1189,BUY,BUY,1189,,0.93,2020-12-01,5,0.00E+00,1110.77
SWM,Bought 4253,BUY,BUY,4253,,0.2575,2020-12-01,5,0.00E+00,1100.15
TLX,Bought 307,BUY,BUY,307,,3.6,2020-12-01,5,0.00E+00,1110.2
WPP,Bought 1974,BUY,BUY,1974,,0.56,2020-12-01,5,0.00E+00,1110.44
ALG,Sold 1348,SELL,SELL,1348,,0.69,2020-12-31,5,0.00E+00,925.12
HFR,Sold 1626,SELL,SELL,1626,,0.692770603,2020-12-31,5,0.00E+00,1121.45
INR,Sold 4021,SELL,SELL,4021,,0.28,2020-12-31,5,0.00E+00,1120.88
PFT,Sold 933,SELL,SELL,933,,1.015,2020-12-31,5,0.00E+00,942
SVY,Sold 1189,SELL,SELL,1189,,0.805,2020-12-31,5,0.00E+00,952.15
SWM,Sold 4253,SELL,SELL,4253,,0.335,2020-12-31,5,0.00E+00,1419.76
TLX,Sold 307,SELL,SELL,307,,3.78,2020-12-31,5,0.00E+00,1155.46
WPP,Sold 1974,SELL,SELL,1974,,0.695,2020-12-31,5,0.00E+00,1366.93
JHC,Sold 1445,SELL,SELL,1445,,0.625,2021-01-04,5,0.00E+00,898.13
